Week,Flight tracking: (Australia)
2020-01-26,100
2020-02-02,97
2020-02-09,92
2020-02-16,83
2020-02-23,84
2020-03-01,82
2020-03-08,69
2020-03-15,94
2020-03-22,81
2020-03-29,44
2020-04-05,35
2020-04-12,37
2020-04-19,31
2020-04-26,28
2020-05-03,19
2020-05-10,20
2020-05-17,20
2020-05-24,18
2020-05-31,21
2020-06-07,18
2020-06-14,21
2020-06-21,20
2020-06-28,23
2020-07-05,23
2020-07-12,28
2020-07-19,42
2020-07-26,24
2020-08-02,30
2020-08-09,28
2020-08-16,21
2020-08-23,25
2020-08-30,25
2020-09-06,23
2020-09-13,26
2020-09-20,24
2020-09-27,29
2020-10-04,21
2020-10-11,21
2020-10-18,27
2020-10-25,22
2020-11-01,18
2020-11-08,20
2020-11-15,24
2020-11-22,25
2020-11-29,31
2020-12-06,34
2020-12-13,45
2020-12-20,48
2020-12-27,33
2021-01-03,36
2021-01-10,31
2021-01-17,27
2021-01-24,27
2021-01-31,35
2021-02-07,27
2021-02-14,25
2021-02-21,31
2021-02-28,38
2021-03-07,28
2021-03-14,34
2021-03-21,33
2021-03-28,46
2021-04-04,36
2021-04-11,40
2021-04-18,39
2021-04-25,36
2021-05-02,39
2021-05-09,41
2021-05-16,39
2021-05-23,36
2021-05-30,35
2021-06-06,31
2021-06-13,27
2021-06-20,37
2021-06-27,33
2021-07-04,31
2021-07-11,35
2021-07-18,24
2021-07-25,21
2021-08-01,16
2021-08-08,19
2021-08-15,25
2021-08-22,24
2021-08-29,28
2021-09-05,25
2021-09-12,24
2021-09-19,24
2021-09-26,25
2021-10-03,24
2021-10-10,26
2021-10-17,27
2021-10-24,25
2021-10-31,27
2021-11-07,30
2021-11-14,34
2021-11-21,31
2021-11-28,36
2021-12-05,38
2021-12-12,52
2021-12-19,72
2021-12-26,55
2022-01-02,44
2022-01-09,37
2022-01-16,43
2022-01-23,41
2022-01-30,48
2022-02-06,51
2022-02-13,49
2022-02-20,68
2022-02-27,77
2022-03-06,63
2022-03-13,56
2022-03-20,65
2022-03-27,81
2022-04-03,85
2022-04-10,96
