Week,Flight tracking: (France)
2020-01-26,73
2020-02-02,80
2020-02-09,75
2020-02-16,82
2020-02-23,78
2020-03-01,72
2020-03-08,81
2020-03-15,64
2020-03-22,61
2020-03-29,79
2020-04-05,86
2020-04-12,61
2020-04-19,70
2020-04-26,55
2020-05-03,59
2020-05-10,62
2020-05-17,47
2020-05-24,54
2020-05-31,62
2020-06-07,53
2020-06-14,56
2020-06-21,54
2020-06-28,48
2020-07-05,66
2020-07-12,63
2020-07-19,67
2020-07-26,74
2020-08-02,62
2020-08-09,63
2020-08-16,56
2020-08-23,48
2020-08-30,44
2020-09-06,54
2020-09-13,51
2020-09-20,51
2020-09-27,57
2020-10-04,44
2020-10-11,59
2020-10-18,40
2020-10-25,36
2020-11-01,30
2020-11-08,47
2020-11-15,52
2020-11-22,44
2020-11-29,45
2020-12-06,59
2020-12-13,74
2020-12-20,78
2020-12-27,50
2021-01-03,53
2021-01-10,48
2021-01-17,46
2021-01-24,49
2021-01-31,54
2021-02-07,52
2021-02-14,45
2021-02-21,40
2021-02-28,43
2021-03-07,47
2021-03-14,49
2021-03-21,55
2021-03-28,42
2021-04-04,40
2021-04-11,55
2021-04-18,64
2021-04-25,57
2021-05-02,46
2021-05-09,51
2021-05-16,54
2021-05-23,52
2021-05-30,61
2021-06-06,56
2021-06-13,59
2021-06-20,56
2021-06-27,53
2021-07-04,69
2021-07-11,69
2021-07-18,74
2021-07-25,79
2021-08-01,71
2021-08-08,91
2021-08-15,68
2021-08-22,83
2021-08-29,62
2021-09-05,44
2021-09-12,62
2021-09-19,66
2021-09-26,47
2021-10-03,67
2021-10-10,62
2021-10-17,57
2021-10-24,72
2021-10-31,52
2021-11-07,60
2021-11-14,58
2021-11-21,68
2021-11-28,69
2021-12-05,55
2021-12-12,81
2021-12-19,84
2021-12-26,66
2022-01-02,68
2022-01-09,54
2022-01-16,67
2022-01-23,59
2022-01-30,57
2022-02-06,71
2022-02-13,71
2022-02-20,90
2022-02-27,100
2022-03-06,80
2022-03-13,68
2022-03-20,60
2022-03-27,71
2022-04-03,85
2022-04-10,98
