Week,Flight tracking: (Spain)
2020-01-26,31
2020-02-02,59
2020-02-09,83
2020-02-16,74
2020-02-23,67
2020-03-01,43
2020-03-08,81
2020-03-15,100
2020-03-22,23
2020-03-29,9
2020-04-05,11
2020-04-12,9
2020-04-19,8
2020-04-26,15
2020-05-03,12
2020-05-10,8
2020-05-17,7
2020-05-24,4
2020-05-31,6
2020-06-07,4
2020-06-14,8
2020-06-21,16
2020-06-28,14
2020-07-05,15
2020-07-12,19
2020-07-19,30
2020-07-26,41
2020-08-02,24
2020-08-09,26
2020-08-16,15
2020-08-23,20
2020-08-30,15
2020-09-06,8
2020-09-13,11
2020-09-20,10
2020-09-27,16
2020-10-04,12
2020-10-11,12
2020-10-18,14
2020-10-25,16
2020-11-01,23
2020-11-08,11
2020-11-15,12
2020-11-22,14
2020-11-29,10
2020-12-06,9
2020-12-13,17
2020-12-20,21
2020-12-27,17
2021-01-03,14
2021-01-10,19
2021-01-17,11
2021-01-24,11
2021-01-31,8
2021-02-07,15
2021-02-14,13
2021-02-21,5
2021-02-28,10
2021-03-07,3
2021-03-14,11
2021-03-21,12
2021-03-28,10
2021-04-04,3
2021-04-11,14
2021-04-18,13
2021-04-25,5
2021-05-02,6
2021-05-09,7
2021-05-16,14
2021-05-23,14
2021-05-30,21
2021-06-06,17
2021-06-13,15
2021-06-20,23
2021-06-27,30
2021-07-04,25
2021-07-11,38
2021-07-18,53
2021-07-25,35
2021-08-01,52
2021-08-08,57
2021-08-15,47
2021-08-22,33
2021-08-29,32
2021-09-05,44
2021-09-12,40
2021-09-19,43
2021-09-26,43
2021-10-03,42
2021-10-10,35
2021-10-17,37
2021-10-24,49
2021-10-31,38
2021-11-07,34
2021-11-14,31
2021-11-21,35
2021-11-28,39
2021-12-05,37
2021-12-12,37
2021-12-19,33
2021-12-26,50
2022-01-02,51
2022-01-09,17
2022-01-16,37
2022-01-23,26
2022-01-30,40
2022-02-06,32
2022-02-13,62
2022-02-20,66
2022-02-27,44
2022-03-06,36
2022-03-13,64
2022-03-20,48
2022-03-27,63
2022-04-03,70
2022-04-10,65
