Week,Immigration: (Cuba)
2020-01-26,50
2020-02-02,44
2020-02-09,57
2020-02-16,30
2020-02-23,69
2020-03-01,38
2020-03-08,37
2020-03-15,37
2020-03-22,63
2020-03-29,24
2020-04-05,24
2020-04-12,35
2020-04-19,54
2020-04-26,39
2020-05-03,30
2020-05-10,27
2020-05-17,44
2020-05-24,35
2020-05-31,64
2020-06-07,47
2020-06-14,19
2020-06-21,83
2020-06-28,57
2020-07-05,57
2020-07-12,63
2020-07-19,56
2020-07-26,37
2020-08-02,22
2020-08-09,26
2020-08-16,39
2020-08-23,57
2020-08-30,43
2020-09-06,67
2020-09-13,59
2020-09-20,28
2020-09-27,32
2020-10-04,72
2020-10-11,42
2020-10-18,33
2020-10-25,39
2020-11-01,24
2020-11-08,38
2020-11-15,36
2020-11-22,57
2020-11-29,48
2020-12-06,27
2020-12-13,38
2020-12-20,35
2020-12-27,46
2021-01-03,48
2021-01-10,36
2021-01-17,21
2021-01-24,39
2021-01-31,53
2021-02-07,54
2021-02-14,24
2021-02-21,61
2021-02-28,33
2021-03-07,32
2021-03-14,55
2021-03-21,33
2021-03-28,40
2021-04-04,32
2021-04-11,30
2021-04-18,41
2021-04-25,28
2021-05-02,17
2021-05-09,34
2021-05-16,33
2021-05-23,34
2021-05-30,37
2021-06-06,33
2021-06-13,43
2021-06-20,43
2021-06-27,41
2021-07-04,25
2021-07-11,19
2021-07-18,23
2021-07-25,31
2021-08-01,37
2021-08-08,21
2021-08-15,38
2021-08-22,40
2021-08-29,42
2021-09-05,47
2021-09-12,43
2021-09-19,30
2021-09-26,43
2021-10-03,41
2021-10-10,29
2021-10-17,19
2021-10-24,28
2021-10-31,46
2021-11-07,43
2021-11-14,32
2021-11-21,40
2021-11-28,31
2021-12-05,35
2021-12-12,57
2021-12-19,42
2021-12-26,29
2022-01-02,46
2022-01-09,38
2022-01-16,56
2022-01-23,40
2022-01-30,35
2022-02-06,52
2022-02-13,44
2022-02-20,48
2022-02-27,49
2022-03-06,65
2022-03-13,100
2022-03-20,78
2022-03-27,62
2022-04-03,65
2022-04-10,53
