"CountryName","Fisrt Rank","Second Rank","Third Rank","Fourth Rank"
"Australia","covid","lockdown","mask","wfh"
"Belgium","covid","lockdown","mask","socialdistance"
"Brazil","covid","education","export","vaccine"
"Canada","covid","lockdown","mask","vaccine"
"China HongKong","covid","socialdistance","vaccine","wfh"
"France","covid","lockdown","socialdistance","vaccine"
"Germany","covid","export","lockdown","wfh"
"India","covid","lockdown","mask","wfh"
"Israel","covid","lockdown","mask","vaccine"
"Italy","covid","education","lockdown","mask"
"Japan","covid","export","mask","vaccine"
"Netherlands","covid","lockdown","mask","vaccine"
"Qatar","covid","medicaltreatment","travel","vaccine"
"Russia","covid","immigration","lockdown","vaccine"
"Saudi Arabia","covid","education","lockdown","vaccine"
"Singapore","covid","education","flight","wfh"
"South Korea","covid","education","export","socialdistance"
"Spain","covid","education","lockdown","mask"
"Switzerland","covid","lockdown","mask","vaccine"
"Thailand","covid","mask","socialdistance","wfh"
"Turkey","covid","education","export","vaccine"
"United Arab Emirates","covid","education","mask","vaccine"
"United Kingdom","covid","lockdown","mask","wfh"
"United States","covid","education","lockdown","vaccine"
"Vietnam","covid","lockdown","mask","wfh"
"World","covid","lockdown","mask","wfh"
